resolution,dx,profile,index,sample,defect_peak_abs,defect_support_px,visibility_z,visibility_ratio,ideal_visibility_z,ideal_visibility_ratio,signal_retention_mask,relative_delta_mean,relative_delta_mask_mean,corr_ix_vs_ideal,corr_iy_vs_ideal,mask_mean_di,bg_mean_di,bg_std_di
64,3.12,weak,12,sample_0012,0.11915162950754166,145,1.2161792854929732,6.540228242411105,6.80639353488545,57.79935041103083,0.751189906098227,3.3329169750213623,1.4391402006149292,0.0013675488716650799,-0.01259399332421746,0.27109938859939575,0.04145105928182602,0.18882769346237183
64,3.12,weak,13,sample_0013,0.029531186446547508,4,4.0277976982929165,52.68258756508603,23.562942240952843,753.4766062912314,1.4955648110830182,13.234758377075195,1.1950242519378662,-0.015174866160188295,-0.48514925411813625,0.06140478327870369,0.001165561261586845,0.014955870807170868
64,3.12,weak,14,sample_0014,0.21703191101551056,118,1.6135200761021575,14.651269337820258,10.532263002097402,69.09453000169079,4.399325832616249,10.305588722229004,4.959847450256348,0.04890519170143548,0.02510568360792093,0.735084593296051,0.050172075629234314,0.42448341846466064
64,3.12,weak,15,sample_0015,0.05553796514868736,2,0.0383367825453189,1.257736940054594,19.768682138065607,651.4318971200709,0.038749192952773834,16.180553436279297,1.038225769996643,0.00733349583759136,-0.013527932558332368,0.0023954410571604967,0.001904564443975687,0.012804324738681316
64,3.12,mid,0,sample_0000,0.30165812373161316,10,0.07945164843740685,1.3024947634918527,46.159053337508404,933.1682904022312,0.049439815145130274,11.741337776184082,1.0080392360687256,-0.025690797530728882,0.0047029570108786545,0.025648731738328934,0.01969200372695923,0.07497299462556839
64,3.12,mid,1,sample_0001,0.12469366192817688,7,1.2473144080446474,5.3278329212547435,26.332847625685446,842.3755729905474,0.6166753171078476,41.200889587402344,1.5715464353561401,-0.055427299624587145,-0.04366913720049367,0.054627675563097,0.010253263637423515,0.03557596355676651
64,3.12,mid,2,sample_0002,0.08706062287092209,5,0.7618526456631345,3.4437378532425265,42.459809033980136,1195.9827937133755,0.30702970001585445,44.41462326049805,1.2810349464416504,-0.03396866263628337,-0.028187625155186174,0.021541696041822433,0.006255323998630047,0.020064735785126686
64,3.12,mid,3,sample_0003,0.14414919912815094,214,0.7285637212616852,2.541328559040471,11.708993963855395,88.64342848476012,1.1777163898315623,8.46546459197998,1.7461975812911987,-0.03413873089189797,0.005578138570402687,0.19107317924499512,0.0751863345503807,0.15906205773353577
64,3.12,mid,4,sample_0004,0.2100750356912613,119,0.7298357186391183,2.3079399153701523,9.641551384854312,73.04368379140259,0.3963727918183861,4.867954730987549,1.106951117515564,0.0019577874342521797,-0.0016650332254972298,0.20957890152931213,0.09080778062343597,0.16273678839206696
64,3.12,mid,5,sample_0005,0.29411783814430237,122,2.181644133718353,5.783241188315702,11.852975919960725,74.68380730132057,1.6504537965691788,8.003618240356445,2.0562455654144287,0.0013970860726754992,0.0006787869791210475,0.5117127895355225,0.08848200738430023,0.19399625062942505
64,3.12,mid,6,sample_0006,0.2556737959384918,111,1.4251786567546418,4.505569257885324,12.055863211846424,84.38295421426741,1.3088636235442597,8.6405668258667,1.7513294219970703,-0.019576993338908603,0.04465418678155306,0.3540746867656708,0.07858600467443466,0.19330115616321564
64,3.12,mid,7,sample_0007,0.22781510651111603,5,0.7492367492979743,3.2529175229848075,17.422779531097532,748.9636255599795,0.4781831008009777,58.208927154541016,0.7796600461006165,0.019338239327872306,-0.02044194808167312,0.04907957836985588,0.015087864361703396,0.04536845535039902
64,3.12,mid,8,sample_0008,0.14925335347652435,64,1.500852804592661,3.8545836200587926,4.603803257181418,37.38575652020291,0.7436807940560375,5.44122314453125,1.3430358171463013,-0.020331197159050535,-0.02425320596869796,0.15087921917438507,0.039142806082963943,0.0744486153125763
64,3.12,mid,9,sample_0009,0.23388078808784485,43,1.6686981892284962,4.6358973494273945,4.566898183739947,42.90448210268205,1.489421984723081,10.40272045135498,1.9507901668548584,-0.04494894352858204,0.019722486704934223,0.2378678023815155,0.0513099804520607,0.11179842054843903
64,3.12,mid,10,sample_0010,0.21830163896083832,117,1.198703975964754,3.5605345047917947,9.078749881340084,57.91454075006267,0.8600961988150253,6.288142681121826,1.4307421445846558,-0.008741665520274167,-0.031548108431407325,0.28062203526496887,0.07881458103656769,0.16835470497608185
64,3.12,mid,11,sample_0011,0.33082783222198486,325,1.1844923570883412,3.021039390614204,8.020965957591939,66.82462884062697,0.6197876070794885,3.2245097160339355,1.3165446519851685,-0.001949073281682444,0.0031354512211704396,0.5722095370292664,0.18940816819667816,0.3231775760650635
64,3.12,mid,12,sample_0012,0.11915162950754166,145,0.9946271890509452,2.7286507858697346,6.80639353488545,57.79935041103083,0.41060276381430255,3.7621121406555176,1.1312764883041382,-0.021315112218011627,0.03396959233041883,0.14818377792835236,0.05430661141872406,0.09438427537679672
64,3.12,mid,13,sample_0013,0.029531186446547508,4,0.2818651126963703,1.980810819025819,23.562942240952843,753.4766062912314,0.10588506571124073,24.065044403076172,1.1025779247283936,0.06188245076482022,-0.03364371165986019,0.004347420763224363,0.0021947682835161686,0.007637172471731901
64,3.12,mid,14,sample_0014,0.21703191101551056,118,1.4294650421309079,4.332245110712627,10.532263002097402,69.09453000169079,1.6256792528902666,9.954113960266113,1.971919298171997,0.007714978632376213,-0.027902469305766096,0.2716352045536041,0.0627007931470871,0.14616265892982483
64,3.12,mid,15,sample_0015,0.05553796514868736,2,-0.10146062049864223,0.7266401449403825,19.768682138065607,651.4318971200709,0.04612183752586106,32.28632354736328,0.9627161622047424,0.0007690190335152225,0.002107836275557011,0.002851211465895176,0.003923828713595867,0.010571759194135666
64,3.12,default,0,sample_0000,0.30165812373161316,10,-0.29604467345981833,0.31919926269891635,46.159053337508404,933.1682904022312,0.0037979352533737847,4.358822345733643,1.0012458562850952,0.0018025194376835715,9.864062580634871e-05,0.0019703193102031946,0.0061726938001811504,0.01419506873935461
64,3.12,default,1,sample_0001,0.12469366192817688,7,0.15605217097488136,1.348370996008997,26.332847625685446,842.3755729905474,0.05142407099434319,14.076330184936523,0.994384229183197,0.010587699655349562,0.010285274988938444,0.0045553590171039104,0.003378416644409299,0.007541980128735304
64,3.12,default,2,sample_0002,0.08706062287092209,5,-0.015340632663188669,0.9697466395261426,42.459809033980136,1195.9827937133755,0.03007984036943671,15.998748779296875,1.009262204170227,-0.001445165304527169,0.01095271004483156,0.002110449830070138,0.002176289912313223,0.004291875287890434
64,3.12,default,3,sample_0003,0.14414919912815094,214,0.6954706281646204,2.047434771609023,11.708993963855395,88.64342848476012,0.2826656452759055,3.0800485610961914,1.0880779027938843,-0.030480437145586257,0.02013190691792634,0.04585978761315346,0.022398656234145164,0.03373418003320694
64,3.12,default,4,sample_0004,0.2100750356912613,119,0.7047820806424034,1.9415630485872832,9.641551384854312,73.04368379140259,0.09585321312569067,2.104672908782959,1.0194519758224487,-0.009373406418957042,-0.01887982467861667,0.05068160966038704,0.026103509590029716,0.03487333282828331
64,3.12,default,5,sample_0005,0.29411783814430237,122,2.0137535179307373,4.141344509660468,11.852975919960725,74.68380730132057,0.3866283808853695,3.0395467281341553,1.095157265663147,0.011966927309207284,-0.02860600327056362,0.11987169086933136,0.028945114463567734,0.04515278339385986
64,3.12,default,6,sample_0006,0.2556737959384918,111,1.2462686156529426,2.9816560090007296,12.055863211846424,84.38295421426741,0.2677049163351389,3.1976020336151123,1.0563924312591553,-0.007162726607286373,0.013714004128009601,0.07241971790790558,0.024288421496748924,0.038620322942733765
64,3.12,default,7,sample_0007,0.22781510651111603,5,-0.06644853373126464,0.8696459558273493,17.422779531097532,748.9636255599795,0.04466750053300032,20.967607498168945,1.0062838792800903,0.008946635945619539,0.025001381452556485,0.0045845662243664265,0.005271761678159237,0.010341770015656948
